date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:36	134139/134139	---MCZ	200	added ('OK')	text/html	etag:%22bfdd0c17c08a10e95e87ca99dab1e88f-ssl-df%22	https://masco-tailwind.netlify.app/index-4	C:/Users/Maega/Downloads/embold/masco-tailwind.netlify.app/index-4.html	(from )
11:00:37	1368/1368	---MCZ	404	error ('Not%20Found')	text/html	etag:1700673003-ssl-df	https://masco-tailwind.netlify.app/robots.txt		(from )
11:00:38	519/519	---M--	200	added ('OK')	image/png	etag:%2286173834ca9a9495ef8635a5d10bc1e5-ssl%22	https://masco-tailwind.netlify.app/assets/img/favicon.png	C:/Users/Maega/Downloads/embold/masco-tailwind.netlify.app/assets/img/favicon.png	(from https://masco-tailwind.netlify.app/index-4)
11:00:41	1930/1930	---M-Z	200	added ('OK')	text/css	etag:%22e88eaf5c06d7171a0d36f402f82c797b-ssl-df%22	https://masco-tailwind.netlify.app/assets/fonts/webfonts/inter/stylesheet.css	C:/Users/Maega/Downloads/embold/masco-tailwind.netlify.app/assets/fonts/webfonts/inter/stylesheet.css	(from https://masco-tailwind.netlify.app/index-4)
11:00:42	4026/4026	---MCZ	200	added ('OK')	text/css	etag:%224a299b44ba00a07bf4f9a0452c5901aa-ssl-df%22	https://masco-tailwind.netlify.app/assets/fonts/webfonts/dm-sans/stylesheet.css	C:/Users/Maega/Downloads/embold/masco-tailwind.netlify.app/assets/fonts/webfonts/dm-sans/stylesheet.css	(from https://masco-tailwind.netlify.app/index-4)
11:00:43	18436/18436	---MCZ	200	added ('OK')	text/css	etag:%221ca62e6e7a43ea3bf0e7cde8197be2e9-ssl-df%22	https://masco-tailwind.netlify.app/assets/css/vendors/swiper-bundle.min.css	C:/Users/Maega/Downloads/embold/masco-tailwind.netlify.app/assets/css/vendors/swiper-bundle.min.css	(from https://masco-tailwind.netlify.app/index-4)
11:00:44	7903/7903	---MCZ	200	added ('OK')	text/css	etag:%228f4e5a27afeeecdbce6fb8272323eb2f-ssl-df%22	https://masco-tailwind.netlify.app/assets/css/vendors/jos.css	C:/Users/Maega/Downloads/embold/masco-tailwind.netlify.app/assets/css/vendors/jos.css	(from https://masco-tailwind.netlify.app/index-4)
11:00:45	512515/512515	---MCZ	200	added ('OK')	text/css	etag:%220d683de0281851b2c4186ba27f0477d4-ssl-df%22	https://masco-tailwind.netlify.app/assets/fonts/iconfonts/font-awesome/stylesheet.css	C:/Users/Maega/Downloads/embold/masco-tailwind.netlify.app/assets/fonts/iconfonts/font-awesome/stylesheet.css	(from https://masco-tailwind.netlify.app/index-4)
11:00:46	20237/20237	---MCZ	200	added ('OK')	text/css	etag:%22a9e20553d6b66fff445a3340c9fac804-ssl-df%22	https://masco-tailwind.netlify.app/assets/css/vendors/menu.css	C:/Users/Maega/Downloads/embold/masco-tailwind.netlify.app/assets/css/vendors/menu.css	(from https://masco-tailwind.netlify.app/index-4)
11:00:47	951/951	---M--	200	added ('OK')	text/css	etag:%22792a000a1b616a8e118d70696dd2ae5b-ssl%22	https://masco-tailwind.netlify.app/assets/css/custom.css	C:/Users/Maega/Downloads/embold/masco-tailwind.netlify.app/assets/css/custom.css	(from https://masco-tailwind.netlify.app/index-4)
11:00:50	130984/130984	---MCZ	200	added ('OK')	text/css	etag:%22310a7cba8388168ff70e6933664cacca-ssl-df%22	https://masco-tailwind.netlify.app/assets/css/style.css	C:/Users/Maega/Downloads/embold/masco-tailwind.netlify.app/assets/css/style.css	(from https://masco-tailwind.netlify.app/index-4)
